id,timing,priority,target,condition,cond_option,effect,effect_option
10123,on_after_attack,-1,pet,buff,random_cmp=5&who=op&id=99&own=false,heal,who=op&set=0
10124,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,add_buff\add_buff,id=41\id=42
10125,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,heal\rage,add=me.pet.status.maxHp*1/4\who=op&add=20
10126,on_after_attack,-1,pet,none,none,add_buff,id=3008
10127,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1013&turn=5
10128,none,-1,none,none,none,none,none
10129,on_after_attack,-1,pet,none,none,powerup,def=1
10130,on_after_attack,-1,pet,none,none,add_buff,id=31&value=me.pet.status.maxHp*1/4
10131,on_before_attack,-1,skill,buff,id=31,set_skill,type=critical&op=+&value=35
10132,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3007&value=1
10133,none,-1,none,none,none,none,none
10134,on_after_attack,-1,pet,buff,who=op&id=3007,add_buff,who=op&id=1008&value=1
10135,none,-1,none,none,none,none,none
10136,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\weather=1,heal\heal,add=me.pet.status.maxHp*1/4\add=me.pet.status.maxHp*1/8
10137,on_after_attack,-1,pet,none,none,remove_buff,who=op&id=1/3/5/7/9/-9
10138,on_after_attack,-1,pet,none,none,add_buff,id=3006&turn=3
10139,on_after_attack,-1,pet,none,none,heal,add=me.skill.damage/4
10140,on_after_attack,-1,pet,buff,who=op&id=3007,add_buff,who=op&id=1008&value=2
10141,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\weather=1,powerup\add_buff,def=1&mdf=1\id=3005
10142,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\weather=1,powerup\rage,mat=1\add=15
10143,none,-1,none,none,none,none,none
10144,on_after_attack,-1,pet,none,none,powerup,who=op&atk=-1
10145,on_final_dmg_cal,-1,skill,last_skill,default=false&type=id&id_op=NOT&id_cmp=10145,set_damage,state=last&op=SET&value=me.skill.damage
10146,on_after_attack,-1,pet,none,none,powerup,who=op&spd=-1
10147,none,-1,none,none,none,none,none
10148,on_after_attack,-1,pet,none,none,add_buff,id=35
10149,on_final_dmg_cal,900,skill,none,none,set_damage,op=+&value=me.pet.status.hp*1/5
10150,on_before_attack,-1,skill,none,none,set_skill,type=power&op=+&value=me.pet.status.lostHp/5[MIN]80
10151,on_after_attack,-1,pet,none,none,add_buff,id=38
10152,on_turn_ready,-1,skill,none,none,set_skill,type=id&op=SET&value=random
10153,on_after_attack,-1,pet,none,none,powerup,atk=1&def=1&mdf=1
10154,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=3
10155,on_after_attack,-1,pet,none,none,powerup,def=1
10156,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3025&value=1
10157,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=3+op.pet.buff[3025].value
10158,on_after_attack,-1,pet,none,none,heal,add=me.pet.status.maxHp*1/4
10159,none,-1,none,none,none,none,none
10160,on_after_attack,-1,pet,none,none,powerup,who=op&def=-1&mdf=-1
10161,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3026&turn=5
10162,on_after_attack,-1,pet,none,none,add_buff,id=33
10163,on_before_attack,-1,skill,buff,who=op&id=3025,set_skill,type=accuracy&op=+&value=1000
10164,on_after_attack,-1,pet,none,none,remove_buff,type=unhealthy
10165,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=7
10166,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1003
10167,on_after_attack,-1,state,none,none,set_weather,weather=1
10168,on_after_attack,-1,pet,none,none,set_buff,who=op&id=1003&type=turn&op=+&value=2
10169,on_before_attack,-1,skill,last_skill,type=id&id_cmp=10169,set_skill,type=accuracy&op=+&value=25
10170,on_after_attack,-1,pet,none,none,remove_buff,who=op&id=1/3
10171,on_after_attack,-1,pet,none,none,remove_buff,who=op&id=9/-9
10172,on_after_attack,-1,pet,none,none,remove_buff,who=op&id=5/7
10173,on_after_attack,-1,pet,none,none,add_buff,id=3028
10174,on_after_attack\on_after_attack,-1\-1,pet\pet,none\buff,none\id=3028,powerup\powerup,mat=1\def=1
10175,on_before_attack,-1,skill,buff,id=3028,set_skill,type=power&op=+&value=50
10176,on_after_attack\on_after_attack,-1\-1,pet\pet,none\buff,none\id=3028,add_buff\heal,id=3029\add=125
10177,on_final_dmg_cal,100,skill,buff,id=3028,set_damage,op=[MAX]&value=100
10178,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,add_buff\add_buff,id=3030&turn=5\id=3031&turn=5
10179,on_decide_pri,-1,skill,buff,id=3028,set_skill,type=priority&op=+&value=1
10180,on_after_attack,-1,pet,none,none,add_buff,id=14&turn=5
10181,on_after_attack,-1,pet,buff,id=3028,add_buff,id=3032&turn=3
10182,on_after_attack,-1,pet,none,none,heal,add=me.pet.status.maxHp*1/4
10183,on_after_attack,-1,pet,none,none,add_buff,id=38
10184,on_after_attack,-1,pet,none,none,rage,who=op&add=-20
10185,on_after_attack,-1,pet,none,none,copy_buff,id=2/4/6/8/10/-10&source=me&target=op&transfer=true
10186,on_after_attack,-1,pet,none,none,remove_buff,type=unhealthy
10187,none,-1,none,none,none,none,none
10188,on_final_dmg_cal,900,pet,none,none,set_damage,op=+&value=me.pet.status.maxHp[MIN]op.pet.status.maxHp*1/8
10189,on_before_attack,-1,skill,last_skill,type=id&id_cmp=10189,powerup,who=op&mdf=-1
10190,none,-1,none,none,none,none,none
10191,on_after_attack,-1,pet,buff,who=op&id=1003,rage,add=10
10192,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3033
10193,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,random_type=unit&random_cmp=50\random_type=unit&random_op=GTE&random_cmp=75,add_buff\powerup,who=op&id=104\mat=1
10194,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,random_type=unit&random_cmp=50\random_type=unit&random_op=GTE&random_cmp=75,add_buff\powerup,who=op&id=106\spd=1
10195,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=random[2~3]
10196,on_after_attack,-1,pet,none,none,add_buff,id=3034&value=0
10197,on_after_attack,-1,pet,none,none,set_buff,who=op&id=1003&type=turn&op=+&value=3
10198,on_final_dmg_cal,900,pet,none,none,set_damage,op=+&value=me.pet.status.maxHp[MIN]op.pet.status.maxHp*1/6
10199,on_after_attack,-1,pet,last_skill,type=id&id_cmp=10199,add_buff,who=op&id=1003
10200,on_before_attack,-1,pet,buff,who=op&id=104|who=op&id=106,set_skill,type=power&op=*&value=2
10201,on_after_attack,-1,pet,none,none,add_buff,who=op&id=106
10202,on_attack,-1,pet,none,none,add_buff,id=3035
10203,on_after_attack\on_after_attack,-1\-1,pet\pet,none\buff,none\id=3028,powerup\powerup,atk=1\mdf=1
10204,on_after_attack,-1,pet,none,none,add_buff,id=3017
10205,on_decide_pri,-1,skill,buff,id=3028,set_skill,type=priority&op=+&value=1
10206,on_after_attack,-1,pet,none,none,remove_buff,who=op&id=1/3/5/7/9/-9
10207,on_after_attack\on_after_attack,-1\-1,pet\pet,none\unit,none\type=state.me.order&type[0].cmp=2,add_buff\rage,id=40&turn=1\add=30
10208,on_attack,-1,pet,none,none,add_buff,id=3036
10209,on_after_attack\on_after_attack,-1\0,pet\pet,pet\none,type=powerup.negCount&type[0].cmp=0\none,powerup\copy_buff,mat=1&spd=1\id=2/4/6/8/10/-10&source=me&target=me&reverse=true
10210,on_after_attack,-1,state,none,none,set_weather,weather=10
10211,on_after_attack,-1,pet,none,none,powerup,def=1
10212,on_after_attack,-1,pet,none,none,add_buff,id=3037
10213,on_after_attack,-1,pet,none,none,add_buff,id=3038
10214,on_after_attack,-1,pet,none,none,powerup,who=op&spd=-1
10215,on_after_attack,-1,pet,buff,id=3037,add_buff,id=3039
10216,on_after_attack\on_after_attack,-1\-1,pet\pet,none\buff,none\id=3037,powerup\heal,atk=1\add=30
10217,on_final_dmg_cal,900,skill,buff,id=3037,set_damage,op=+&value=random[40~60]
10218,on_after_attack\on_after_attack,-1\-1,pet\pet,none\buff,none\id=3037,powerup\heal,who=op&mdf=-1\add=30
10219,on_after_attack,-1,pet,buff,id=3037,heal,add=me.skill.damage/4
10220,on_after_attack,-1,pet,none,none,add_buff,id=34&value=100
10221,on_after_attack,-1,pet,none,none,add_buff,id=3037
10222,on_after_attack\on_after_attack,-1\0,pet\pet,none\none,none\none,remove_buff\add_buff,type=unhealthy\id=13&turn=5
10223,on_before_attack,-1,skill,none,weather=1,set_skill,type=power&op=*&value=2
10224,on_final_dmg_cal,900,skill,buff,id=3037,set_damage,op=+&value=me.pet.status.maxHp*1/5
10225,none,-1,none,none,none,none,none
10226,none,-1,none,none,none,none,none
10227,on_after_attack,-1,pet,none,none,powerup,mat=1
10228,on_before_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,set_skill\add_buff,type=power&op=+&value=me.pet.buff[3004].value*30\id=3004&value=1
10229,on_after_attack,-1,pet,none,none,powerup,who=op&spd=-1
10230,on_before_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,set_skill\add_buff,type=critical&op=+&value=me.pet.buff[3009].value*30\id=3009&value=1
10231,none,-1,none,none,none,none,none
10232,on_before_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,set_skill\add_buff,type=combo&op=+&value=me.pet.buff[3010].value\id=3010&value=1
10233,on_after_attack\on_after_attack,-1\0,pet\pet,none\none,none\none,remove_buff\add_buff,id=2/4/6/8/10/-10\id=12&turn=5
10234,on_after_attack,-1,pet,none,none,heal,add=-me.skill.damage/4
10235,on_after_attack,-1,pet,none,none,powerup,who=op&mat=-1
10236,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1006
10237,on_after_dmg_cal\on_after_attack,-1\-1,pet\pet,none\none,none\none,set_damage\add_buff,op=*&value=me.pet.buff[3013].value/2+1\id=3013&value=1
10238,on_after_attack,-1,pet,none,none,add_buff,who=op&id=46&turn=5
10239,on_before_attack,-1,skill,status,status_type=hp&op=<&cmp_value=1/4,set_skill,type=accuracy&op=+&value=1000
10240,on_after_attack,-1,pet,none,none,powerup,who=op&mat=-1&mdf=-1
10241,none,-1,none,none,none,none,none
10242,none,-1,none,none,none,none,none
10243,on_after_attack,-1,pet,none,none,add_buff,id=3040&value=1
10244,on_before_attack,-1,skill,pet,type=weight&weight_op=>&weight_cmp=op.pet.weight,set_skill,type=power&op=*&value=2
10245,on_after_attack,-1,pet,none,none,powerup,def=1
10246,on_after_attack,-1,pet,none,none,add_buff,id=31&value=me.pet.weight
10247,on_before_attack,-1,skill,pet,type=level&level_op=GTE&level_cmp=op.pet.level,set_skill,type=power&op=*&value=2
10248,on_before_attack\on_after_attack,-1\-1,skill\pet,buff\none,id=3040&own=true\none,set_skill\add_buff,type=accuracy&op=+&value=25*me.pet.buff[3040].value\who=op&id=102
10249,on_before_attack,-1,skill,buff,who=op&id=102&own=true,set_skill,type=power&op=*&value=2
10250,on_final_dmg_cal,-1,skill,none,none,set_damage,op=SET&value=me.pet.weight
10251,on_before_attack,-1,skill,pet,type=weight&weight_op=>&weight_cmp=99,set_skill,type=power&op=*&value=2
10252,on_final_dmg_cal,900,skill,pet,type=weight&weight_op=>&weight_cmp=op.pet.weight,set_damage,op=+&value=me.pet.weight-op.pet.weight
10253,on_after_attack,-1,pet,none,none,add_buff,repeat=2&id=3040&value=1
10256,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,id=3040&type=value&value_op=GTE&value_cmp=2\id=3040&type=value&value_op=GTE&value_cmp=2,add_buff\remove_buff,id=27&turn=3\id=3040
10255,on_after_attack,-1,pet,none,random_cmp=50,add_buff,who=op&id=1005
10256,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,id=3040&type=value&value_op=GTE&value_cmp=2\id=3040&type=value&value_op=GTE&value_cmp=2,add_buff\remove_buff,id=33\id=3040
10257,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1004&turn=3&value=30
10258,on_after_attack,-1,pet,none,random_cmp=40,powerup,who=op&def=-1
10259,on_final_dmg_cal,-1,skill,none,none,set_damage,op=SET&value=me.pet.weight
10260,on_after_attack,-1,pet,last_skill,default=true&type=id&id_op=NOT&id_cmp=10260,add_buff,who=op&id=102&turn=1
10261,none,-1,none,none,none,none,none
10262,none,-1,none,none,none,none,none
10263,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=random[2~4]
10264,on_after_attack,-1,pet,none,none,add_buff,id=15&turn=5
10265,on_before_attack,-1,skill,buff,id=15&own=true,set_skill,type=power&op=+&value=30
10266,on_after_attack,-1,pet,none,none,powerup,who=op&atk=-1&mdf=-1
10267,on_before_attack,-1,skill,buff,id=15&own=true,set_skill,type=power&op=+&value=30
10268,on_after_attack,-1,pet,buff,id=15&own=true,remove_buff,id=7
10269,on_after_attack\on_after_attack,-1\-1,pet\pet,none\none,none\none,heal\add_buff,add=me.pet.status.maxHp*1/6\id=3043&turn=3&value=30
10270,on_before_attack\on_before_attack,-1\-1,skill\skill,none\buff,none\id=15&own=true,set_skill\set_skill,type=combo&op=SET&value=2\type=power&op=+&value=30
10271,on_after_attack,-1,pet,none,none,add_buff,id=49
10272,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1004&turn=3&value=30
10273,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1004&turn=3&value=30
10274,none,-1,none,none,none,none,none
10275,on_after_attack\on_after_attack,-1\-1,pet\pet,buff\buff,who=op&id=1004&own=true\who=op&id=1004&own=true,set_buff\set_buff,who=op&id=1004&type=value&op=*&value=2\who=op&id=1004&type=turn&op=+&value=1
10276,on_after_attack,-1,pet,buff,id=15&own=true,remove_buff,id=5
10277,on_final_dmg_cal,100,skill,none,none,set_damage,op=[MAX]&value=100
10278,none,-1,none,none,none,none,none
10279,on_after_attack,-1,none,none,none,add_buff,who=op&id=3044
10280,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,who=op&id=3044&own=true\who=op&id=3044&own=true,add_buff\remove_buff,who=op&id=1004&turn=3&value=30\who=op&id=3044
10281,none,-1,none,none,none,none,none
10282,on_after_attack,-1,pet,none,none,add_buff,id=51
10283,on_before_attack,-1,skill,none,none,set_skill,type=combo&op=SET&value=3
10284,on_after_attack,-1,pet,none,none,add_buff,id=14&turn=2*me.pet.buff[200055].value+3
10285,on_after_attack,-1,pet,none,none,add_buff,who=op&id=3047
10286,none,-1,none,none,none,none,none
10287,on_after_attack,-1,pet,none,none,add_buff,who=op&id=1004&turn=3&value=30
10288,on_before_attack,-1,skill,last_skill,type=type&type_cmp=-3,set_skill,type=power&op=*&value=2
10289,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,who=op&id=3044&own=true\who=op&id=3044&own=true,add_buff\remove_buff,id=3048\who=op&id=3044
10290,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,who=op&id=3044&own=true\who=op&id=3044&own=true,add_buff\remove_buff,who=op&id=3045\who=op&id=3044
10291,on_after_attack\on_after_attack,-1\0,pet\pet,buff\buff,who=op&id=3045&own=true\who=op&id=3045&own=true,add_buff\remove_buff,who=op&id=3046\who=op&id=3045
